greV,greQ,greA,cgpa,univName
155.0,163.0,3.5,4.0,University Of Kansas
161.0,170.0,4.0,3.93,McGill University
155.0,167.0,4.5,3.4,Columbia University
159.0,168.0,4.0,3.74,Northeastern University
157.0,159.0,4.0,3.62,University Of Colorado Boulder
161.0,169.0,4.5,3.78,Rutgers University
157.0,161.0,5.0,3.96,Rice University
158.0,160.0,3.5,3.01,Michigan State University
164.0,167.0,5.0,3.87,Michigan State University
165.0,169.0,5.5,3.95,University Of Michigan
144.0,169.0,3.5,3.7,University Of Southern California
165.0,167.0,4.5,3.79,UC San Diego (UCSD)
161.0,169.0,4.5,3.5,University Of Utah
155.0,142.0,3.5,3.51,University Of Georgia
170.0,161.0,5.5,3.83,University Of Virginia
151.0,165.0,4.0,3.84,Temple University
166.0,169.0,5.0,3.7,University Of Washington
151.0,155.0,4.0,3.7,UC San Diego (UCSD)
161.0,168.0,4.5,9.99,University Of Michigan
150.0,157.0,4.5,3.64,University Of Kansas
163.0,151.0,5.0,3.63,University Of Virginia
163.0,158.0,4.5,3.3,University Of Wisconsin - Madison
159.0,170.0,4.0,3.56,Carnegie Mellon University
151.0,161.0,5.0,3.93,University Of Arizona
158.0,152.0,5.5,3.67,George Washington University
159.0,164.0,5.0,3.6,Columbia University
150.0,168.0,0.0,4.0,Duke University
158.0,161.0,4.5,3.1,Cornell University
162.0,170.0,5.0,3.8,Northwestern University
163.0,165.0,4.5,4.0,Columbia University
165.0,169.0,4.5,3.9,Columbia University
150.0,149.0,3.5,3.1,University Of Texas At Dallas
165.0,170.0,4.0,3.73,"University Of California, Davis"
162.0,161.0,4.0,3.63,"University Of California, Davis"
162.0,157.0,4.2,3.46,Northeastern University
154.0,167.0,3.5,3.03,George Washington University
145.0,167.0,3.0,3.65,University Of Houston
169.0,163.0,5.5,3.68,Columbia University
152.0,170.0,3.0,3.5,Clemson University
155.0,163.0,3.5,4.0,University Of Virginia
158.0,168.0,3.5,3.64,The University Of Chicago
150.0,170.0,4.0,2.76,"University Of California, Irvine"
148.0,168.0,3.5,3.44,University Of Wisconsin-Madison
148.0,170.0,3.0,3.34,"University Of California, Irvine"
163.0,170.0,4.0,4.0,University Of Michigan
162.0,169.0,3.5,3.53,Columbia University
150.0,170.0,3.5,3.8,University Of Florida
170.0,169.0,5.0,3.57,University Of Utah
167.0,170.0,5.5,3.62,Columbia University
156.0,164.0,4.0,3.3,UC San Diego (UCSD)
169.0,170.0,0.0,3.9,Columbia University
144.0,168.0,4.0,3.28,University Of Colorado Boulder
144.0,168.0,4.0,3.28,Purdue University - West Lafayette
160.0,168.0,4.5,3.91,McGill University
160.0,163.0,4.0,3.19,New York University
157.0,160.0,3.5,3.98,UC San Diego (UCSD)
162.0,152.0,4.0,3.1,"University Of California, Berkeley"
167.0,157.0,4.5,3.48,Brown University
162.0,170.0,5.0,3.9,University Of Wisconsin-Madison
157.0,165.0,3.5,3.73,University Of Southern California
151.0,154.0,5.0,3.85,Boston University
159.0,170.0,4.0,3.58,University Of Wisconsin-Madison
165.0,169.0,0.0,3.85,University Of Notre Dame
166.0,152.0,5.0,4.0,University Of Pennsylvania
154.0,170.0,0.0,3.94,Columbia University
160.0,163.0,4.5,3.8,University Of Connecticut
164.0,166.0,4.0,8.56,University Of Notre Dame
154.0,170.0,3.5,4.0,"University Of California, Davis"
155.0,170.0,3.5,3.7,McGill University
155.0,167.0,3.5,8.55,"University Of California, Irvine"
155.0,167.0,3.5,8.55,"University Of California, Irvine"
