greV,greQ,greA,cgpa,univName
166.0,154.0,5.5,4.0,University Of Oxford
150.0,158.0,3.0,3.3,‌Boston University
164.0,152.0,4.0,3.2,ีUniversity Of Maryland - College Park (UMD)
154.0,141.0,4.0,4.0,University Of Washington
157.0,162.0,4.0,3.94,University Of Florida (Gainesville)
162.0,170.0,4.5,3.8,UC Berkeley
163.0,154.0,4.0,3.9,The University Of Wisconsin - Madison
160.0,168.0,4.0,3.06,University Of Texas At Austin
154.0,170.0,3.5,3.46,"University Of California, Irvine"
159.0,154.0,4.5,3.8,Vanderbilt University
166.0,169.0,5.0,3.5,Columbia University
169.0,155.0,3.5,3.63,Columbia  University
155.0,154.0,5.5,3.7,Purdue University
160.0,167.0,4.5,3.74,Stanford University
166.0,162.0,5.5,3.31,UC Berkeley
160.0,168.0,5.0,3.74,University Of Michigan
156.0,165.0,4.0,3.95,"University Of Michigan, Ann Arbor"
159.0,161.0,4.0,2.4,Northwestern University
158.0,162.0,5.0,3.12,Vanderbilt University
159.0,168.0,4.5,3.56,Texas A&M University
167.0,157.0,5.0,3.0,Virginia Polytechnic And State University (Virginia Tech)
157.0,170.0,5.0,3.9,"University Of Michigan, Ann Arbor"
157.0,170.0,5.0,3.9,University Of Florida
157.0,170.0,5.0,3.9,Stanford University
162.0,157.0,4.5,3.43,University Of Michigan
168.0,166.0,5.0,3.98,Yale University
163.0,165.0,4.0,3.87,Stanford University
160.0,155.0,5.5,4.0,University Of Florida (Gainesville)
151.0,159.0,3.5,3.52,Temple University
159.0,163.0,4.0,3.75,UCLA
151.0,159.0,3.5,3.52,University Of South Florida
151.0,167.0,4.5,3.87,Michigan State University
151.0,167.0,4.5,3.87,Colorado State University
168.0,155.0,5.5,3.8,ีUniversity Of Maryland - College Park (UMD)
159.0,168.0,4.5,3.98,(Arizona State University) ASU
159.0,161.0,4.5,3.3,University Of Wisconsin - Madison
156.0,162.0,3.5,3.2,University Of Texas At Austin
165.0,166.0,4.5,3.82,Stanford University
155.0,152.0,4.5,3.9,Indiana University Bloomington
159.0,148.0,4.0,3.96,University Of Delaware
159.0,148.0,4.0,3.96,Temple University
160.0,157.0,5.0,3.81,ีUniversity Of Maryland - College Park
163.0,160.0,4.0,3.7,University Of Texas At Dallas
151.0,165.0,3.5,3.92,Syracuse University
169.0,170.0,4.5,4.0,"University Of Michigan, Ann Arbor"
170.0,164.0,4.0,3.78,Carnegie  Mellon University (CMU)
166.0,158.0,0.0,3.3,University Of Kentucky
154.0,166.0,3.5,3.02,Syracuse University
161.0,167.0,3.0,3.9,UC Davis
161.0,169.0,4.0,3.88,Columbia University
161.0,169.0,4.0,3.88,The University Of Southern California (USC)
152.0,162.0,4.0,3.6,NCSU (North Carolina State University)
160.0,170.0,5.0,3.9,Columbia  University
164.0,168.0,4.5,3.8,University Of Wisconsin - Madison
152.0,165.0,5.0,3.1,UCLA
164.0,169.0,4.5,3.6,The University Of Southern California (USC)
155.0,170.0,4.0,3.9,UC Davis
158.0,150.0,5.0,3.67,Harvard University
166.0,160.0,6.0,3.61,University Of Texas At Austin
165.0,163.0,5.0,3.42,"UCSD (University Of California, San Diego)"
162.0,167.0,4.0,3.9,University Of Southern California (USC)
155.0,159.0,4.5,3.68,UC Berkeley
156.0,153.0,4.0,3.7,Temple University
157.0,144.0,5.5,4.0,Syracuse University
157.0,170.0,3.5,3.6,Carnegie  Mellon University (CMU)
141.0,154.0,3.5,3.56,Ohio State University
170.0,170.0,6.0,3.92,Stanford University
162.0,170.0,4.5,3.92,Carnegie  Mellon University (CMU)
153.0,170.0,2.0,3.35,North Carolina State University
158.0,170.0,3.5,3.93,Carnegie  Mellon University (CMU)
160.0,156.0,4.0,3.46,Duke University
167.0,168.0,4.5,3.6,"UCSD (University Of California, San Diego)"
159.0,163.0,4.0,3.4,University Of Texas At Dallas
166.0,167.0,0.0,4.0,Stanford University
159.0,164.0,4.5,3.14,NCSU (North Carolina State University)
162.0,151.0,4.5,4.0,University Of Chicago
148.0,167.0,4.0,3.56,Columbia University
164.0,168.0,5.5,3.82,"UCSD (University Of California, San Diego)"
163.0,170.0,3.5,3.92,UC San Diego (UCSD)
163.0,158.0,4.5,3.46,Duke University
164.0,167.0,5.0,3.84,Stanford University
152.0,152.0,4.0,4.0,The University Of Chicago
154.0,166.0,5.5,3.8,University Of Wisconsin - Madison
158.0,153.0,4.5,3.75,‌Boston University
167.0,159.0,5.0,3.5,UCSD
170.0,161.0,4.0,3.85,University Of Texas At Austin (UT Austin)
160.0,161.0,4.0,3.88,Northwestern University
160.0,157.0,4.5,3.99,ีUniversity Of Maryland - College Park (UMD)
145.0,160.0,3.0,3.37,(SUNY) University At Buffalo
154.0,168.0,3.0,3.5,University Of Wisconsin - Madison
153.0,143.0,4.0,3.11,University Of Pittsburgh
162.0,158.0,4.5,3.95,University Of Wisconsin - Madison
167.0,163.0,4.5,3.96,University Of Wisconsin - Madison
162.0,170.0,3.5,3.46,Columbia University
155.0,166.0,4.5,3.6,University Of Virginia
152.0,155.0,4.5,3.94,ีUniversity Of Maryland - College Park (UMD)
153.0,148.0,5.0,3.7,ีUniversity Of Maryland - College Park (UMD)
159.0,165.0,4.0,3.78,ีUniversity Of Maryland - College Park (UMD)
169.0,169.0,5.5,4.0,Stanford University
158.0,170.0,4.0,4.0,Stanford University
155.0,168.0,5.0,3.95,Stanford University
165.0,170.0,5.5,3.95,Stanford University
154.0,153.0,4.0,3.6,(SUNY) University At Buffalo
154.0,168.0,4.5,3.3,Vanderbilt University
165.0,159.0,5.0,3.9,University Of Oregon
155.0,163.0,5.0,3.2,Clemson University
164.0,157.0,4.5,3.3,UCLA
148.0,154.0,3.5,3.23,Stanford University
163.0,153.0,4.5,3.82,University Of Connecticut
168.0,159.0,5.5,3.89,George Washington University
150.0,148.0,4.0,3.17,Stanford University
162.0,157.0,4.0,3.99,Northwestern University
161.0,169.0,3.0,3.79,UC Berkeley
163.0,164.0,4.5,3.65,Washington University in St. Louis (WashU/WUSTL)
154.0,150.0,4.0,3.7,"University Of Michigan, Ann Arbor"
159.0,166.0,4.5,3.7,The University Of Southern California (USC)
157.0,153.0,3.5,3.94,Vanderbilt University
157.0,153.0,5.0,3.85,University Of Houston
160.0,164.0,4.0,3.01,"University Of Michigan, Ann Arbor"
170.0,170.0,5.5,3.95,UC Davis
158.0,157.0,5.0,3.46,UNC Chapel Hill
160.0,164.0,5.5,3.89,University Of Florida (Gainesville)
158.0,166.0,4.0,3.67,Columbia University
164.0,169.0,4.5,4.0,The University Of Southern California (USC)
149.0,164.0,3.5,3.71,University Of Delaware
145.0,167.0,3.5,3.61,University Of Rochester
161.0,160.0,4.5,3.9,Stanford University
160.0,160.0,3.5,3.7,University Of Michigan
170.0,166.0,5.0,3.53,Columbia University
146.0,149.0,4.5,3.52,University Of South Florida
157.0,153.0,4.0,3.27,Columbia  University
167.0,167.0,4.5,3.8,Stanford University
151.0,170.0,3.5,3.71,NCSU (North Carolina State University)
160.0,170.0,3.5,4.0,Stanford University
161.0,168.0,5.0,4.0,UC Berkeley
157.0,170.0,4.0,3.7,Cornell University
167.0,151.0,5.5,4.0,Harvard University
160.0,169.0,5.5,3.79,Stanford University
162.0,162.0,6.0,3.98,Cornell University
157.0,168.0,3.5,3.89,University Of Virginia
159.0,164.0,6.0,3.2,Stanford University
160.0,161.0,4.0,3.32,University Of Wisconsin - Madison
161.0,168.0,4.0,3.32,Georgia State University
165.0,170.0,4.0,4.0,Stanford University
167.0,170.0,5.5,3.7,Stanford University
168.0,170.0,5.0,3.94,Harvard University
147.0,157.0,6.0,3.3,University Of Pittsburgh
152.0,151.0,4.0,3.6,University Of Florida (Gainesville)
164.0,152.0,5.5,3.71,University Of Arizona
160.0,160.0,5.0,4.0,Vanderbilt University
165.0,168.0,4.0,3.65,Princeton University
164.0,163.0,5.5,3.76,Harvard University
151.0,168.0,4.0,3.3,NCSU (North Carolina State University)
164.0,170.0,5.0,3.97,University Of Texas At Austin (UT Austin)
167.0,163.0,4.0,4.0,University Of Rochester
163.0,151.0,5.5,3.98,Harvard University
161.0,163.0,5.0,4.0,Columbia  University
160.0,155.0,5.0,4.0,Washington University in St. Louis (WashU/WUSTL)
168.0,158.0,0.0,3.5,The University Of Southern California (USC)
161.0,164.0,4.0,3.3,"UCSD (University Of California, San Diego)"
154.0,147.0,4.0,3.56,University Of Chicago
170.0,164.0,4.5,3.74,Columbia  University
156.0,163.0,3.5,3.37,University Of Utah
156.0,151.0,3.5,3.7,University Of Pittsburgh
164.0,156.0,5.0,4.0,Virginia Polytechnic And State University (Virginia Tech)
163.0,158.0,5.0,3.97,"University Of California, Los Angeles (UCLA)"
160.0,163.0,5.0,3.67,Northwestern University
164.0,167.0,4.0,3.95,Oregon State University
169.0,170.0,6.0,3.85,UC Berkeley
154.0,164.0,3.5,3.7,UCSD
154.0,163.0,5.5,3.67,University Of Texas At Austin (UT Austin)
163.0,167.0,5.0,3.74,University Of Pittsburgh
159.0,170.0,4.5,3.83,Duke University
160.0,168.0,5.0,3.5,Northwestern University
170.0,150.0,5.5,3.93,Washington University in St. Louis (WashU/WUSTL)
162.0,159.0,4.0,3.12,"UCSD (University Of California, San Diego)"
158.0,157.0,4.0,3.87,"UCSD (University Of California, San Diego)"
158.0,166.0,3.5,3.6,Stony Brook University
156.0,141.0,5.5,3.83,Yale University
152.0,150.0,5.5,3.96,ีUniversity Of Maryland - College Park (UMD)
163.0,166.0,4.5,3.64,University Of Michigan
160.0,160.0,5.0,4.0,University Of Florida
159.0,169.0,4.0,3.88,"University Of Michigan, Ann Arbor"
162.0,161.0,5.0,3.93,ีUniversity Of Maryland - College Park (UMD)
167.0,159.0,5.5,3.88,UC Berkeley
159.0,149.0,5.0,4.0,Princeton University
153.0,163.0,4.5,3.4,Vanderbilt University
160.0,165.0,4.0,3.79,Duke University
155.0,166.0,5.5,3.96,University Of Wisconsin - Madison
155.0,165.0,5.0,3.79,"University Of Michigan, Ann Arbor"
163.0,151.0,4.5,4.0,The University Of Southern California (USC)
162.0,166.0,5.5,3.78,University Of Pittsburgh
168.0,168.0,5.0,4.0,Duke University
156.0,149.0,4.5,3.3,Duke University
170.0,170.0,4.0,3.27,Stony Brook University
156.0,169.0,4.0,3.67,Penn State (Pennsylvania State University)
170.0,166.0,5.0,3.53,University Of Texas At Austin (UT Austin)
154.0,162.0,3.0,3.0,University Of Utah
153.0,169.0,3.0,3.5,Clemson University
165.0,165.0,5.0,4.0,The University Of Southern California (USC)
164.0,163.0,4.5,4.0,Michigan State University
163.0,163.0,5.5,4.0,Purdue University
167.0,168.0,4.5,3.91,Columbia  University
154.0,169.0,4.0,3.7,Cornell University
153.0,169.0,3.5,3.87,"University Of California, Los Angeles (UCLA)"
152.0,170.0,3.5,3.69,UC San Diego (UCSD)
166.0,166.0,4.5,3.79,Duke University
154.0,167.0,4.0,3.4,NCSU (North Carolina State University)
150.0,160.0,4.0,3.9,Northeastern University
152.0,148.0,4.0,3.96,Northeastern University
150.0,168.0,4.5,3.5,University Of Florida (Gainesville)
156.0,161.0,4.5,3.8,University Of Texas At Austin (UT Austin)
156.0,161.0,4.5,3.8,Duke University
164.0,166.0,4.5,8.95,North Carolina State University (NCSU)
167.0,164.0,6.0,3.97,Stanford University
152.0,165.0,5.0,3.75,Duke University
155.0,170.0,4.5,3.8,Columbia  University
154.0,170.0,4.0,3.81,UC Irvine
160.0,156.0,4.0,3.46,University Of Arizona
168.0,156.0,5.5,3.96,Princeton University
168.0,170.0,4.5,3.5,Columbia  University
153.0,152.0,5.5,3.8,George Washington University
169.0,157.0,5.5,3.67,"University Of Michigan, Ann Arbor"
151.0,161.0,4.5,3.35,Brown University
163.0,155.0,5.5,3.97,Rice University
160.0,146.0,4.0,4.0,UNC Chapel Hill
163.0,164.0,4.5,3.65,Harvard University
151.0,161.0,4.5,3.35,Brown University
162.0,169.0,4.5,3.88,University Of Southern California
162.0,169.0,4.5,3.88,University Of Texas At Austin
146.0,137.0,4.0,3.83,(SUNY) University At Buffalo
165.0,167.0,5.0,3.85,Columbia University
157.0,170.0,3.0,3.2,Columbia University
163.0,167.0,4.5,3.69,‌Boston University
169.0,170.0,5.5,3.88,University Of Texas At Austin (UT Austin)
163.0,167.0,5.0,3.6,Carnegie  Mellon University (CMU)
157.0,166.0,4.0,3.47,University Of Florida (Gainesville)
157.0,170.0,4.0,3.64,Columbia  University
153.0,170.0,3.0,3.89,ีUniversity Of Maryland - College Park
155.0,161.0,4.5,3.72,University Of Utah
164.0,168.0,5.5,3.8,Brown University
147.0,163.0,4.0,3.77,University Of Florida (Gainesville)
153.0,170.0,3.0,3.6,Purdue University
167.0,165.0,4.5,3.88,University Of Arizona
160.0,155.0,0.0,3.84,Penn State (Pennsylvania State University)
160.0,169.0,6.0,3.92,University Of Minnesota - Twin Cities (UMN)
167.0,163.0,4.5,3.46,"University Of Michigan, Ann Arbor"
165.0,166.0,5.0,3.7,Ohio State University (OSU)
155.0,160.0,5.0,3.84,Columbia  University
145.0,170.0,3.5,3.85,Cornell University
169.0,170.0,4.5,3.3,Columbia  University
170.0,154.0,4.0,3.91,Duke University
168.0,166.0,4.5,3.9,The University Of Chicago
158.0,167.0,3.5,3.54,University Of Pittsburgh
162.0,167.0,4.5,2.99,Duke University
152.0,155.0,4.5,3.94,(Arizona State University) ASU
157.0,168.0,3.0,4.0,UC Berkeley
169.0,166.0,4.5,3.2,Brown University
170.0,161.0,5.5,3.9,University Of Wisconsin-Madison
162.0,164.0,5.0,3.87,Harvard University
170.0,166.0,5.5,3.94,University Of Pennsylvania
167.0,163.0,4.5,3.96,Temple University
168.0,168.0,5.0,4.0,Carnegie  Mellon University (CMU)
144.0,160.0,3.5,3.7,Purdue University
159.0,161.0,5.0,3.38,Temple University
158.0,167.0,4.0,3.63,Northwestern University
161.0,162.0,4.5,3.2,UC Berkeley
160.0,162.0,5.0,3.65,University Of Southern California
157.0,164.0,3.5,3.9,(SUNY) University At Buffalo
161.0,163.0,3.5,3.3,University Of Florida (Gainesville)
163.0,157.0,5.0,3.46,Rice University
163.0,157.0,5.0,3.96,(SUNY) University At Buffalo
163.0,168.0,4.0,4.0,Northwestern University
166.0,170.0,4.5,3.94,Northwestern University
158.0,170.0,4.0,4.0,Northwestern University
152.0,150.0,5.5,3.96,University Of South Florida
168.0,164.0,5.0,3.87,Northwestern University
155.0,168.0,5.0,3.95,Northwestern University
157.0,159.0,3.5,3.39,Penn State (Pennsylvania State University)
168.0,170.0,5.0,3.94,Northwestern University
164.0,164.0,5.0,3.94,Cornell University
161.0,168.0,4.0,4.04,Duke University
164.0,159.0,5.5,3.96,University Of Minnesota - Twin Cities (UMN)
166.0,162.0,5.5,3.67,Columbia University
167.0,155.0,5.5,3.6,University Of Minnesota - Twin Cities (UMN)
162.0,170.0,3.5,3.7,Cornell University
169.0,157.0,5.5,3.95,University Of Pennsylvania
168.0,157.0,4.5,3.29,The University Of Chicago
164.0,156.0,5.5,3.97,Temple University
158.0,157.0,4.0,3.9,Carnegie  Mellon University (CMU)
156.0,162.0,4.0,3.32,Carnegie  Mellon University (CMU)
161.0,167.0,3.5,3.7,ีUniversity Of Maryland - College Park (UMD)
153.0,155.0,4.0,3.8,University Of South Florida
169.0,168.0,5.0,4.0,UC Irvine
166.0,164.0,4.0,3.97,Iowa State University
159.0,150.0,3.5,3.3,Northeastern University
150.0,151.0,4.5,3.38,American University
164.0,157.0,4.5,3.3,Penn State (Pennsylvania State University)
166.0,154.0,0.0,3.4,Duke University
155.0,161.0,5.0,4.0,Cornell University
159.0,168.0,3.5,3.97,University Of Texas At Austin
153.0,170.0,4.0,3.77,Virginia Polytechnic And State University (Virginia Tech)
161.0,156.0,4.5,3.55,The University Of Southern California (USC)
161.0,156.0,4.5,4.55,The University Of Southern California (USC)
156.0,150.0,5.5,3.63,The University Of Southern California (USC)
167.0,168.0,5.5,9.19,The University Of Southern California (USC)
167.0,161.0,5.5,3.63,Northeastern University
166.0,167.0,3.5,3.61,University Of Wisconsin-Madison
162.0,150.0,4.5,3.23,Columbia University
167.0,168.0,4.0,3.87,NCSU (North Carolina State University)
156.0,165.0,4.0,3.95,Duke University
163.0,162.0,5.5,3.77,Georgia State University
159.0,150.0,4.5,3.7,University Of Oregon
169.0,160.0,6.0,4.0,University Of Pittsburgh
155.0,168.0,5.0,3.76,UC Irvine
165.0,169.0,5.0,3.9,Michigan State University
170.0,162.0,5.5,3.94,Brown University
159.0,166.0,4.5,8.66,UC San Diego (UCSD)
162.0,168.0,4.5,3.81,UC Davis
165.0,156.0,0.0,3.4,University Of Virginia
168.0,153.0,4.5,3.97,ีUniversity Of Maryland - College Park (UMD)
167.0,155.0,6.0,4.0,"University Of Michigan, Ann Arbor"
167.0,159.0,4.5,3.13,‌Boston University
164.0,165.0,4.5,3.51,The University Of Southern California (USC)
163.0,168.0,4.5,3.94,"UCSD (University Of California, San Diego)"
157.0,170.0,4.0,3.62,"UCSD (University Of California, San Diego)"
153.0,165.0,4.0,3.5,UC Berkeley
149.0,164.0,3.5,3.94,NCSU (North Carolina State University)
164.0,156.0,5.5,3.97,‌Boston University
160.0,167.0,4.0,2.86,Washington University in St. Louis (WashU/WUSTL)
168.0,154.0,4.0,3.72,Rutgers University
161.0,168.0,4.0,3.9,University Of Chicago
155.0,153.0,4.0,3.24,"University Of Michigan, Ann Arbor"
163.0,163.0,4.0,3.95,George Washington University
159.0,162.0,5.5,3.56,University Of Wisconsin-Madison
161.0,166.0,5.0,4.0,University Of Texas At Austin
170.0,156.0,4.5,4.0,Stanford University
166.0,158.0,4.5,3.28,"University Of Michigan, Ann Arbor"
163.0,168.0,3.5,3.9,ีUniversity Of Maryland - College Park (UMD)
169.0,151.0,6.0,3.89,"University Of Maryland, College Park"
163.0,167.0,5.0,3.6,University Of Washington
167.0,170.0,4.5,3.55,Colorado State University
163.0,167.0,5.0,3.6,University Of Washington
159.0,160.0,5.5,4.0,ีUniversity Of Maryland - College Park (UMD)
158.0,163.0,4.5,3.8,"University Of Michigan, Ann Arbor"
162.0,161.0,3.5,3.5,UC Berkeley
152.0,151.0,4.0,3.6,University Of Florida (Gainesville)
168.0,161.0,5.0,3.82,New York University
170.0,164.0,5.5,3.8,Stanford University
159.0,169.0,4.0,3.88,Cornell University
158.0,170.0,4.0,4.0,"University Of Michigan, Ann Arbor"
169.0,167.0,5.5,3.7,"University Of Michigan, Ann Arbor"
169.0,167.0,5.5,3.85,UC Berkeley
170.0,170.0,5.5,3.85,Columbia University
162.0,161.0,5.5,3.76,University Of Chicago
163.0,169.0,0.0,3.99,Brown University
154.0,170.0,3.5,3.96,Princeton University
167.0,166.0,4.5,3.89,University Of Minnesota - Twin Cities (UMN)
159.0,155.0,6.0,3.48,American University
163.0,167.0,4.5,3.85,UC Berkeley
164.0,162.0,4.5,3.6,University Of Southern California
166.0,168.0,4.5,3.9,Columbia University
170.0,158.0,5.5,3.77,Columbia  University
159.0,163.0,5.0,3.5,NCSU (North Carolina State University)
170.0,156.0,5.5,3.77,George Washington University
159.0,170.0,4.0,3.73,The University Of Southern California (USC)
155.0,156.0,4.0,3.95,Northeastern University
154.0,157.0,4.5,3.78,Northeastern University
144.0,155.0,3.5,3.7,Northeastern University
164.0,169.0,4.5,3.94,Princeton University
155.0,170.0,3.5,3.9,Purdue University
158.0,166.0,4.0,3.76,"University Of Michigan, Ann Arbor"
157.0,149.0,4.5,3.4,Northeastern University
150.0,168.0,4.0,3.52,UC Davis
155.0,165.0,5.0,9.1,NCSU (North Carolina State University)
160.0,160.0,4.5,3.72,ีUniversity Of Maryland - College Park (UMD)
152.0,169.0,3.5,3.96,NCSU (North Carolina State University)
170.0,160.0,5.5,3.76,University Of Delaware
149.0,168.0,4.0,3.51,UC Berkeley
157.0,161.0,4.0,3.3,The University Of Southern California (USC)
161.0,161.0,5.0,3.6,The University Of Southern California (USC)
165.0,168.0,0.0,3.42,University Of Arizona
167.0,170.0,4.5,4.0,Princeton University
159.0,163.0,3.0,3.19,‌Boston University
157.0,151.0,4.5,3.7,(Arizona State University) ASU
155.0,159.0,4.5,3.68,University Of Texas At Austin (UT Austin)
156.0,170.0,4.0,3.98,The University Of Southern California (USC)
157.0,161.0,4.5,2.89,Rice University
162.0,156.0,5.5,3.07,Northwestern University
165.0,163.0,4.5,3.89,UC Davis
157.0,153.0,4.0,3.32,ีUniversity Of Maryland - College Park (UMD)
153.0,150.0,4.0,3.82,UCLA
156.0,163.0,4.0,3.91,Penn State (Pennsylvania State University)
170.0,170.0,5.0,3.88,University Of Chicago
167.0,167.0,4.5,3.69,Columbia University
164.0,163.0,4.0,4.0,University Of Florida (Gainesville)
162.0,161.0,5.0,4.0,UC Davis
169.0,163.0,5.0,4.0,University Of Rochester
152.0,170.0,3.5,3.98,Brown University
162.0,148.0,6.0,3.94,Indiana University Bloomington
157.0,160.0,4.5,3.85,(Arizona State University) ASU
170.0,168.0,6.0,3.83,George Washington University
160.0,163.0,5.0,3.8,"University Of Michigan, Ann Arbor"
162.0,167.0,4.0,3.8,"University Of Michigan, Ann Arbor"
163.0,153.0,6.0,3.69,University Of Texas At Austin
164.0,167.0,4.0,3.3,University Of Michigan
168.0,163.0,4.5,3.72,Princeton University
160.0,170.0,4.5,3.9,Northwestern University
160.0,170.0,4.0,3.62,Duke University
160.0,155.0,5.0,4.0,"University Of Michigan, Ann Arbor"
166.0,170.0,4.5,3.94,Yale University
165.0,164.0,6.0,4.0,Stanford University
156.0,166.0,3.5,3.71,ีUniversity Of Maryland - College Park (UMD)
170.0,150.0,3.5,3.9,Purdue University
154.0,155.0,3.5,3.01,Colorado State University
167.0,160.0,4.5,3.99,Tufts University
169.0,167.0,4.5,3.88,University Of Wisconsin-Madison
162.0,167.0,3.0,3.56,ีUniversity Of Maryland - College Park (UMD)
158.0,170.0,4.0,4.0,Yale University
170.0,165.0,5.0,3.7,ีUniversity Of Maryland - College Park (UMD)
156.0,156.0,5.0,3.7,UC Berkeley
167.0,165.0,4.5,3.88,ีUniversity Of Maryland - College Park (UMD)
154.0,140.0,5.5,3.58,"University Of California, Los Angeles (UCLA)"
158.0,170.0,4.0,3.96,The University Of Southern California (USC)
153.0,170.0,4.5,3.8,UC Berkeley
155.0,170.0,3.5,3.7,ีUniversity Of Maryland - College Park (UMD)
160.0,168.0,4.0,3.83,The University Of Southern California (USC)
153.0,170.0,4.0,3.89,Carnegie  Mellon University (CMU)
167.0,161.0,5.0,4.0,Rutgers University
164.0,169.0,4.5,3.6,"UCSD (University Of California, San Diego)"
162.0,161.0,4.5,3.7,UC Berkeley
158.0,170.0,3.0,3.83,ีUniversity Of Maryland - College Park
157.0,164.0,4.0,3.81,Clemson University
168.0,160.0,5.0,3.88,UC Berkeley
165.0,165.0,5.5,3.9,Princeton University
167.0,153.0,5.0,3.8,UC Berkeley
153.0,167.0,5.0,3.8,UC Berkeley
163.0,170.0,3.5,3.9,Purdue University
145.0,161.0,5.0,3.9,University Of Delaware
169.0,162.0,6.0,3.9,Stanford University
169.0,162.0,6.0,4.0,Princeton University
169.0,168.0,5.0,3.55,Stanford University
164.0,164.0,0.0,3.6,"University Of Michigan, Ann Arbor"
165.0,166.0,5.0,3.71,University Of Minnesota - Twin Cities (UMN)
169.0,150.0,6.0,3.9,Yale University
166.0,160.0,0.0,3.8,"University Of Michigan, Ann Arbor"
162.0,157.0,4.0,3.99,University Of Cincinnati
158.0,151.0,5.0,3.1,University Of Delaware
158.0,166.0,5.5,3.93,University Of Notre Dame
170.0,151.0,5.0,3.95,"University Of Michigan, Ann Arbor"
163.0,170.0,5.0,3.86,Princeton University
159.0,170.0,4.5,3.98,Duke University
168.0,154.0,4.0,3.72,"University Of Michigan, Ann Arbor"
162.0,169.0,5.0,3.96,UC Davis
167.0,169.0,4.0,3.8,Brown University
160.0,170.0,4.0,3.84,UC Davis
158.0,170.0,4.0,4.0,Brown University
159.0,149.0,5.0,4.0,University Of Texas At Austin (UT Austin)
161.0,155.0,3.5,3.83,ีUniversity Of Maryland - College Park (UMD)
152.0,162.0,4.5,3.96,UC Berkeley
163.0,153.0,4.5,3.82,‌Boston University
160.0,156.0,4.0,3.46,University Of Florida (Gainesville)
151.0,147.0,4.0,4.0,Brown University
166.0,154.0,4.0,3.83,Brown University
167.0,159.0,6.0,3.72,University Of Chicago
157.0,154.0,5.0,4.0,University Of Utah
170.0,160.0,5.0,3.71,Northwestern University
160.0,159.0,5.5,4.0,UCLA
149.0,157.0,5.5,3.98,ีUniversity Of Maryland - College Park (UMD)
144.0,168.0,3.5,3.74,New York University
144.0,168.0,3.5,3.74,University Of Minnesota - Twin Cities (UMN)
150.0,170.0,3.5,3.69,Washington University in St. Louis (WashU/WUSTL)
164.0,170.0,4.0,3.8,Purdue University
152.0,170.0,4.0,3.99,"UCSD (University Of California, San Diego)"
160.0,164.0,4.0,3.72,University Of Pittsburgh
159.0,170.0,3.5,3.89,Stanford University
164.0,167.0,4.0,3.9,UC Davis
165.0,169.0,5.0,3.95,UC Davis
162.0,155.0,5.5,3.89,Princeton University
158.0,156.0,4.5,3.6,University Of Illinois At Urbana-Champaign
156.0,162.0,4.0,3.4,University Of Rochester
164.0,160.0,4.0,3.93,University Of Michigan
164.0,160.0,4.0,3.93,Duke University
162.0,165.0,5.0,3.62,University Of Oregon
158.0,170.0,5.0,3.93,Columbia University
146.0,149.0,4.5,3.52,University Of Central Florida
151.0,165.0,3.0,3.64,Rice University
157.0,169.0,5.5,3.76,"UCSD (University Of California, San Diego)"
158.0,163.0,0.0,4.0,"University Of Michigan, Ann Arbor"
161.0,169.0,5.0,3.98,"University Of Michigan, Ann Arbor"
157.0,154.0,5.0,3.8,University Of Utah
164.0,164.0,4.5,3.36,George Mason University
154.0,164.0,4.0,3.7,University Of Texas At Austin (UT Austin)
170.0,152.0,4.0,3.77,Washington University in St. Louis (WashU/WUSTL)
170.0,154.0,5.5,3.68,University Of Texas At Austin
163.0,169.0,5.0,4.0,UC Berkeley
168.0,159.0,5.5,3.89,University Of Pittsburgh
165.0,155.0,6.0,3.94,Princeton University
170.0,153.0,4.5,3.9,University Of Kansas
164.0,167.0,4.0,3.9,University Of Florida (Gainesville)
169.0,165.0,4.5,3.95,Brown University
159.0,163.0,4.0,3.8,University Of Florida (Gainesville)
159.0,168.0,4.0,3.38,"University Of Michigan, Ann Arbor"
151.0,170.0,3.5,3.71,Penn State (Pennsylvania State University)
155.0,170.0,3.5,3.94,Emory University
154.0,151.0,4.5,3.89,University Of Utah
157.0,165.0,4.5,3.82,University Of Rochester
161.0,157.0,5.0,3.7,The University Of Southern California (USC)
170.0,170.0,5.5,3.95,University Of Utah
163.0,168.0,4.5,3.81,Harvard University
168.0,169.0,5.0,3.74,Columbia  University
154.0,168.0,5.0,3.69,The University Of Southern California (USC)
154.0,168.0,5.0,3.69,NCSU (North Carolina State University)
156.0,170.0,4.0,3.8,‌Boston University
170.0,150.0,4.0,3.25,"University Of California, Los Angeles (UCLA)"
170.0,160.0,5.5,3.75,The University Of Southern California (USC)
166.0,162.0,4.0,3.8,Washington University in St. Louis (WashU/WUSTL)
161.0,158.0,4.0,3.75,Brown University
166.0,145.0,4.0,3.9,"UCSD (University Of California, San Diego)"
166.0,145.0,4.0,3.9,University Of Minnesota - Twin Cities (UMN)
157.0,152.0,4.0,3.9,The University Of Southern California (USC)
156.0,154.0,3.5,3.7,University Of Kentucky
153.0,161.0,3.0,3.89,"University Of California, Los Angeles (UCLA)"
162.0,170.0,4.5,3.93,"UCSD (University Of California, San Diego)"
170.0,170.0,4.5,3.93,Stanford University
163.0,168.0,4.0,4.0,Stanford University
157.0,170.0,4.5,3.88,Stanford University
163.0,161.0,5.5,3.97,Northwestern University
